datetime,ticker,headline,sent_label,sent_score
2020-02-12 08:00:00+00:00,ULVR.L,Food giant to stop advertising ice cream to children - BBC,negative,-0.46618276834487915
2020-09-11 07:00:00+00:00,BARC.L,Barclays champions Black wealth creation on Instagram Live - Marketing Dive,neutral,0.13705459237098694
2020-10-07 07:00:00+00:00,BP.L,"Ashburn Shell station becomes BP, accepts Harris Teeter points - The Burn",neutral,0.08782444149255753
2020-10-22 07:00:00+00:00,BP.L,Emerson's Automation Tech for BP's Caspian Sea Platform - Offshore Engineer Magazine,neutral,0.04624875262379646
2020-11-11 08:00:00+00:00,BA.L,BAE Systems Taps Industry 4.0 Technology for New Aircraft - Assembly Magazine,positive,0.6890195608139038
2020-11-18 08:00:00+00:00,TSCO.L,‘Tired’ parents demand Tesco drops its ‘no naughty list’ Christmas ad as they can’t bribe kids - The Sun,negative,-0.9357627630233765
2020-12-14 08:00:00+00:00,SHEL.L,LRV car body shell for Dresden completed and accepted - Railway PRO,neutral,0.22987236082553864
2020-12-17 08:00:00+00:00,HSBA.L,"Hong Kong Sevens postponed again, this time to November 2021 - South China Morning Post",neutral,-0.16847531497478485
2021-01-14 08:00:00+00:00,RR.L,350 jobs at Rolls-Royce’s Lancashire engine blade factory saved - Aerospace Manufacturing,neutral,-0.13614916801452637
2021-03-14 08:00:00+00:00,VOD.L,BT and Vodafone launch new unbreakable broadband but is really worth paying the price? - Daily Express,neutral,0.09000786393880844
2021-03-22 07:00:00+00:00,AZN.L,AstraZeneca defends coronavirus vaccine with new study - DW,positive,0.6267691254615784
2021-03-25 07:00:00+00:00,BA.L,"Royal Navy Hawk trainer jet crashes, two pilots eject - AeroTime",negative,-0.8660694360733032
2021-04-22 07:00:00+00:00,BA.L,BAE Systems donates laptops to support local children with their learning - BAE Systems,neutral,0.206167533993721
2021-05-11 07:00:00+00:00,GSK.L,Raising the bar for lupus awareness and advancement - It’s personal - GSK US,neutral,0.18388311564922333
2021-05-12 07:00:00+00:00,RR.L,Rolls-Royce owned by HRH Princess Margaret heads to auction - Motoring Research,neutral,0.03183291107416153
2021-05-14 07:00:00+00:00,BP.L,"Jimmy Harrell, Deepwater Horizon Rig Supervisor, Dies at 65 - Jackson Free Press",neutral,-0.1108282282948494
2021-05-20 07:00:00+00:00,TSCO.L,Update to Tesco self-checkout system reignites shopper debate - Bristol Live,neutral,-0.018053311854600906
2021-05-21 07:00:00+00:00,TSCO.L,"Council recommends approval of 1,280 new homes at Goodmayes Tesco - Ilford Recorder",neutral,0.20298011600971222
2021-06-04 07:00:00+00:00,BP.L,BP’s Pivot to Renewables Has Big Potential—and Sizable Risks - Barron's,neutral,0.11137443035840988
2021-07-27 07:00:00+00:00,RIO.L,Rio Tinto commits $2.4 billion to develop Jadar lithium-boron underground mine & process plant in Serbia - International Mining,neutral,0.23448805510997772
2021-07-29 07:00:00+00:00,VOD.L,Making digital inclusion in Tanzania a reality - Vodafone,neutral,0.12873199582099915
2021-08-02 07:00:00+00:00,RIO.L,"From suburbia to Serbia, Rio’s lithium dream grows - AFR",neutral,0.25691157579421997
2021-08-03 07:00:00+00:00,HSBA.L,"EXCLUSIVE ADB, Citi, HSBC, Prudential hatch plan for Asian coal-fired closures -sources - Reuters",neutral,-0.02105063572525978
2021-08-27 07:00:00+00:00,SHEL.L,Shell Shuts Production at Four Gulf of Mexico Platforms as Storm Ida Approaches - Offshore Engineer Magazine,negative,-0.9016145467758179
2021-09-22 07:00:00+00:00,SHEL.L,Gazprom and Shell talk Sakhalin II project and more - Offshore-Energy.biz,neutral,0.04970802366733551
2021-09-28 07:00:00+00:00,RR.L,Future for 700 Rolls-Royce workers still unclear after site-owning company sold for £1.5 billion - Hucknall Dispatch,negative,-0.8143660426139832
2021-09-29 07:00:00+00:00,VOD.L,Vodafone to close all its own shops in Spain by March 2022 - The Local Spain,negative,-0.5202493667602539
2021-11-22 08:00:00+00:00,ULVR.L,Neha Dhupia named first-ever brand ambassador for Hindustan Unilever's Dermalogica - Exchange4Media,neutral,0.1558179408311844
2021-12-09 08:00:00+00:00,VOD.L,Vodafone Qatar - Forbes Middle East,neutral,0.09423341602087021
2021-12-16 08:00:00+00:00,HSBA.L,"Banking roundup: HSBC's Amherst branch to become ""Wealth Center"" - The Business Journals",positive,0.4940858483314514
2022-01-31 08:00:00+00:00,NWG.L,'Give me all the money or I will shoot you': Terrifying moment gunman raided NatWest - Manchester Evening News,neutral,-0.3267883062362671
2022-02-16 08:00:00+00:00,TSCO.L,BHF circuit - Tesco PLC,neutral,-0.0031907856464385986
2022-07-20 07:00:00+00:00,RR.L,Rolls-Royce and Italia Trasporto Aereo Airways sign TotalCare agreement for Trent XWB engines - Rolls-Royce plc,positive,0.8711249232292175
2022-07-28 07:00:00+00:00,AZN.L,Covid vaccinations’ effect on periods and menopause needs more research - The Guardian,neutral,0.03717303276062012
2022-08-01 07:00:00+00:00,SHEL.L,Shell and Lufthansa Group sign MOU for seven-year SAF supply deal - Business Green,positive,0.7696015238761902
2022-10-20 07:00:00+00:00,LLOY.L,Lloyds Bank Becomes First in UK to Commit to End Financing of New Oil & Gas Projects - ESG Today,neutral,0.1597990095615387
2022-10-21 07:00:00+00:00,BARC.L,UK watchdog fines Barclays $55 mln for fees paid in 2008 fundraising - Reuters,negative,-0.903847873210907
2022-11-03 07:00:00+00:00,BP.L,Siem Offshore awarded PSV contract by BP Canada - Splash247,neutral,0.4568850100040436
2022-11-22 08:00:00+00:00,BP.L,BP says Rotterdam refinery remains shut in dispute over pay - Reuters,negative,-0.9071778059005737
2022-12-01 08:00:00+00:00,HSBA.L,CORRECTED-HSBC will have to share custody of $52 bln of gold bars with JPMorgan - Yahoo Finance,neutral,-0.3842419981956482
2022-12-07 08:00:00+00:00,RR.L,Marbella woman known as 'the model' captured with drugs in Rolls Royce wrapper - The Telegraph,neutral,0.026114389300346375
2023-01-06 08:00:00+00:00,GLEN.L,Glencore sells warehousing unit Access World - Mining.com,neutral,0.012962475419044495
2023-01-09 08:00:00+00:00,AZN.L,AstraZeneca to Buy CinCor Pharma for Up to $1.8 Billion - Bloomberg.com,neutral,0.039800092577934265
2023-01-09 08:00:00+00:00,HSBA.L,‘Open to Art’: HSBC Hong Kong revolutionises billboard in immersive 3D exhibition - Famous Campaigns,neutral,0.18016618490219116
2023-03-09 08:00:00+00:00,RR.L,"""The Beast"" Is A Bespoke Shooting Brake Car That Uses A 27-Liter Rolls-Royce Aircraft V12 - HotCars",neutral,0.04104246944189072
2023-03-09 08:00:00+00:00,VOD.L,OPPO Find N2 Flip takes foldables from the fringes to the forefront for Vodafone customers - One NZ,neutral,0.1522395759820938
2023-03-13 07:00:00+00:00,BP.L,Hypertension: Salt intake may affect men and women differently - Medical News Today,neutral,-0.4139825403690338
2023-03-15 07:00:00+00:00,SHEL.L,ABB completes lube oil blending plant extension for Shell Indonesia - ABB,positive,0.7647128105163574
2023-03-22 07:00:00+00:00,SHEL.L,Shell To Replace Outgoing Legal Director With Supply GC - Law360,neutral,-0.09682096540927887
2023-06-09 07:00:00+00:00,AZN.L,AstraZeneca signs $2 billion agreement with Quell to develop cell therapies - Reuters,positive,0.8668261170387268
2023-06-15 07:00:00+00:00,RIO.L,Rio Tinto expands low-carbon aluminum production in Quebec - magazine.cim.org,positive,0.7528846859931946
2023-06-20 07:00:00+00:00,RR.L,Rolls-Royce Announces New-Tech Small Turbine Engine Program - AVweb,positive,0.6680708527565002
2023-07-07 07:00:00+00:00,TSCO.L,Asda cheapest but Tesco Clubcard saves shoppers nearly a fiver - The Grocer,neutral,-0.18361955881118774
2023-07-13 07:00:00+00:00,VOD.L,Mobile giant names new regional chief marketing officer - PressReader,neutral,0.0492534264922142
2023-07-17 07:00:00+00:00,TSCO.L,UK supermarket Tesco is to stop selling physical games - Video Games Chronicle,negative,-0.6476197838783264
2023-07-20 07:00:00+00:00,ULVR.L,"New Unilever Chairman, board directors announced - Trinidad and Tobago Newsday",neutral,0.013951802626252174
2023-07-21 07:00:00+00:00,VOD.L,"Vi launches ‘Vi One’ bundled service: Plans, what it offers and more - The Times of India",neutral,0.03630407899618149
2023-08-21 07:00:00+00:00,VOD.L,"Vodafone-Idea makes it easier for users to switch from prepaid to postpaid, here’s how - The Times of India",neutral,0.05629114434123039
2023-08-30 07:00:00+00:00,RR.L,1929 Rolls-Royce Phantom II gets sympathetic EV conversion - Goodwood,neutral,0.3907862901687622
2023-09-01 07:00:00+00:00,RR.L,What If They Made Those Fake Rolls-Royce Grilles For Other Cars Like Porsches And Teslas? - The Autopian,neutral,-0.04017212986946106
2023-09-09 07:00:00+00:00,GLEN.L,Colombia puts the brakes on giant Glencore mine as water dries up - SWI swissinfo.ch,negative,-0.5487731099128723
2023-11-13 08:00:00+00:00,ULVR.L,"EBL, Unilever sign payroll banking deal - The Business Standard",neutral,0.2612588703632355
2023-11-16 08:00:00+00:00,TSCO.L,Costa Coffee stirs up excitement as new store opens in Tesco Ashford Crooksfoot - costanewsroom.vuelio.co.uk,positive,0.7578622698783875
2023-11-20 08:00:00+00:00,BA.L,From sci-fi to sci-fact - BAE Systems,neutral,0.018597343936562538
2023-12-05 08:00:00+00:00,AZN.L,AstraZeneca Sues Sun to Block Copies of Three Diabetes Drugs - Bloomberg Law News,negative,-0.7829262614250183
2023-12-15 08:00:00+00:00,AZN.L,Personified: Heather Vanderploeg - AstraZeneca,neutral,-0.016705499961972237
2023-12-20 08:00:00+00:00,RR.L,Rolls-Royce commences tests on pressurising and pumping liquid hydrogen - FlightGlobal,neutral,0.25667670369148254
2023-12-29 08:00:00+00:00,GSK.L,What will it mean for asthmatic patients as GSK stops production of Flovent inhalers? - The News International,negative,-0.5213673114776611
2024-01-12 08:00:00+00:00,RR.L,Rolls-Royce truck engine repower project lowers emissions at Los Bronces - International Mining,positive,0.7916905879974365
2024-02-19 08:00:00+00:00,BA.L,British troops fire their new Archer howitzers for the first time - Army Technology,neutral,0.1348365843296051
2024-03-12 07:00:00+00:00,RIO.L,"Should BHP, Rio Tinto and Fortescue investors be worried about the iron ore selloff? - Market Index",neutral,-0.2283335030078888
2024-04-22 07:00:00+00:00,RR.L,Rolls-Royce Unveils Trio of Bespoke 'Spirit of Expression' Commissions for Auto China 2024 - autoevolution,positive,0.6799272298812866
2024-06-10 07:00:00+00:00,BARC.L,Barclays bank branches across London vandalised by pro-Palestinian protesters in countrywide wave of attacks - London Evening Standard,negative,-0.8708243370056152
2024-06-11 07:00:00+00:00,AZN.L,"ADCs are in focus. Here’s where AstraZeneca, AbbVie hope to take the field next. - BioPharma Dive",neutral,0.06564126908779144
2024-06-18 07:00:00+00:00,BARC.L,Barclays to remove £5 monthly loyalty reward as part of ‘makeover’ - The Independent,negative,-0.5944644212722778
2024-07-23 07:00:00+00:00,TSCO.L,Tesco and Ella’s Kitchen partner to give away free veg in bid to encourage more little ones to eat their 5 a day - Tesco PLC,neutral,0.13041435182094574
2024-07-23 07:00:00+00:00,BP.L,SLB to accelerate co-development of AI-driven digital platform for Aker BP - SLB,positive,0.8059115409851074
2024-07-25 07:00:00+00:00,ULVR.L,Innovation and brand investment driving faster volume growth - Unilever Global,neutral,0.47655996680259705
2024-09-05 07:00:00+00:00,RIO.L,MRN secures approval for $1bn bauxite mining project - Valor International,positive,0.9081290364265442
2024-09-10 07:00:00+00:00,GLEN.L,Glencore Billionaire Alex Beard Appears at UK Court Accused of Corruption - Bloomberg.com,neutral,-0.10382315516471863
2024-09-12 07:00:00+00:00,BA.L,BAE Systems awarded $440 million to produce additional Bradley Fighting Vehicles for the U.S. Army - BAE Systems,positive,0.9146999716758728
2024-10-01 07:00:00+00:00,ULVR.L,"Unilever revamps global media agency roster, appoints WPP's Mindshare in key markets - Exchange4Media",neutral,0.11972978711128235
2024-10-01 07:00:00+00:00,BP.L,Norton Rose Fulbright advises bp in US$1.4 billion acquisition of bp Bunge Bioenergia - Norton Rose Fulbright,neutral,0.12030333280563354
2024-10-07 07:00:00+00:00,BP.L,BP abandons target to cut oil and gas output by 2030 - Greenpeace UK,negative,-0.870093584060669
2024-10-08 07:00:00+00:00,VOD.L,VodafoneZiggo successfully launches 2nd Green Bond to support its sustainability strategy - vodafoneziggo.nl,positive,0.8710718750953674
2024-10-09 07:00:00+00:00,AZN.L,Transportation support for people facing cancer returns to St John’s - Canadian Cancer Society,neutral,0.17719991505146027
2024-10-22 07:00:00+00:00,HSBA.L,HSBC creates international wealth business in major restructuring - Investment Week,neutral,0.2238568812608719
2024-10-30 07:00:00+00:00,BA.L,Nuclear submarine shipyard fire at Barrow-in-Furness leaves two in hospital - The Guardian,negative,-0.9400023818016052
2024-10-31 07:00:00+00:00,AZN.L,Is Remission Now an Achievable Goal for More Patients with Systemic Lupus Erythematosus? - EMJ,neutral,0.21684905886650085
2024-11-24 08:00:00+00:00,RR.L,The Rolls-Royce Corniche that rallied the Paris-Dakar is looking for a new home - Classic Driver,neutral,0.13200432062149048
2024-12-21 08:00:00+00:00,NWG.L,Natwest warns of more card fraud over festive period - Bailiwick Express,negative,-0.7730705738067627
2025-01-24 08:00:00+00:00,BA.L,BAE Systems plans to ensure 'necessary' security measures are in place approved - NW Mail,neutral,0.24067598581314087
2025-02-06 08:00:00+00:00,AZN.L,AstraZeneca’s diabetes drug fails to slow Parkinson’s progression in UCL trial - Clinical Trials Arena,positive,0.11048665642738342
2025-02-11 08:00:00+00:00,AZN.L,"Spotlight: Amgen, AstraZeneca’s Tezspire continues to gain ground on Dupixent in US asthma market - FirstWord Pharma",positive,0.9355549812316895
2025-02-14 08:00:00+00:00,NWG.L,NatWest nails a solid end to 2024 despite dip for shares - AJ Bell,positive,0.9185259342193604
2025-02-27 08:00:00+00:00,AZN.L,AstraZeneca opens biomethane plant in UK to cut emissions - Reuters,neutral,0.4246070384979248
2025-02-28 08:00:00+00:00,RIO.L,LTM:ASX Announcement - Letter to Shareholders - 28 Feb 2025 - Market Index,neutral,0.021096667274832726
2025-03-05 08:00:00+00:00,GLEN.L,Glencore opens up graduate programs for 2026 - North West Weekly,neutral,0.13109280169010162
2025-04-22 07:00:00+00:00,BA.L,BAE Announces Breakthrough in Explosives Manufacturing Tech - The Defense Post,positive,0.757208526134491
2025-06-02 02:16:16+00:00,RIO.L,Refuelling the mining industry - Rio Tinto,neutral,0.09115555882453918
2025-07-04 07:00:00+00:00,BA.L,Analysis for science and technology research in defence (ASTRID) framework - GOV.UK,neutral,0.036870233714580536
